operator,threshold,rows,events,op_hr,op_lo,op_hi,op_p,int_hr,int_lo,int_hi,int_p,effort_hr,effort_p,AIC,dAIC_vs_effort
velocity_province,50,182485,655,0.968834145884519,0.875441332243524,1.07219018300895,0.540396472069191,1.02704794516363,0.9548539160941,1.10470037760297,0.472944499848113,1.74351340749,2.18254975494704e-28,8440.7424188345,-8.96057198299241
velocity_speciesdiff,50,182485,655,0.952412196479678,0.856205281060671,1.05942933554385,0.369493953170759,1.06236527396603,0.992541638017111,1.13710088534287,0.0811298674316253,1.72884504292932,3.06401338520759e-35,8438.2186345957,-11.4843562217866
novelty_province,50,182485,655,1.76763945315188,1.50042326064846,2.08244521281861,9.6118065861294e-12,0.920390047380214,0.850771473312252,0.995705504814971,0.0387109673009402,1.26573900583459,0.00131297990192613,8389.81071662139,-59.8922741961051
novelty_speciesdiff,50,182485,655,1.11375466738647,0.993318544003771,1.24879321604654,0.0650107358466243,0.941704501006931,0.865471800586847,1.02465194893167,0.163145936432643,1.76802681314912,6.51392539411114e-39,8437.68841718329,-12.014573634202
velocity_province,100,171353,655,0.969046205782,0.875852905226926,1.07215554499667,0.542198418593015,1.02714953073582,0.955156406284087,1.10456900204993,0.469977577390584,1.74941251889142,1.19253948756114e-28,8352.70877186478,-9.03266026698293
velocity_speciesdiff,100,171353,655,0.949074492071407,0.85311916549019,1.0558224781916,0.336485473433917,1.06395258543507,0.99388529774218,1.13895950229422,0.074499383550966,1.73463649015194,1.51690293264184e-35,8350.06771047911,-11.6737216526544
novelty_province,100,171353,655,1.76967305616105,1.50152748982958,2.08570455547095,9.84537356644944e-12,0.920969638871549,0.851356643759862,0.996274689273976,0.0400653954654589,1.26878815230816,0.00118547700451304,8301.79405424032,-59.9473778914398
novelty_speciesdiff,100,171353,655,1.11844998558375,0.994369134051362,1.25801407889203,0.0620582313205336,0.941871939017636,0.865563530834551,1.02490772532145,0.164753968658858,1.77386060157535,2.27357311993364e-39,8349.57251039722,-12.1689217345429
velocity_province,200,161187,655,0.969034854197845,0.875565696047135,1.07248211400882,0.543308253232586,1.02682816741674,0.954601746145895,1.10451933453648,0.476804120226688,1.75791387066437,4.84708214003536e-29,8265.58871603433,-9.07316653590533
velocity_speciesdiff,200,161187,655,0.9475787427545,0.851275539559038,1.05477654648143,0.324761115505204,1.06491116166693,0.994381787227662,1.14044303386178,0.0720421178451865,1.74230894219895,6.13982532943129e-36,8262.88587139474,-11.7760111754906
novelty_province,200,161187,655,1.77732667286284,1.50711270561536,2.09598797110526,8.19197153369969e-12,0.920822616338448,0.851183247446489,0.996159514774391,0.0397918272342247,1.27069873535679,0.00114048916785056,8214.34199890374,-60.3198836664906
novelty_speciesdiff,200,161187,655,1.12345092689273,0.995758174192014,1.26751857815306,0.0586314243892958,0.943867737743457,0.867203228548811,1.02730972051819,0.181350519465197,1.78091888223142,7.7586810103676e-40,8262.38962430964,-12.2722582605929
