run_key,indicator,window,threshold,effort,rows,events,effort_hr,effort_lo,effort_hi,effort_p,change_hr,change_lo,change_hi,change_p,var_hr,var_lo,var_hi,var_p,int_change_hr,int_change_lo,int_change_hi,int_change_p,int_var_hr,int_var_lo,int_var_hi,int_var_p,AIC,dAIC_vs_effort
tavg_annual_W5,tavg_annual,5,50,eff_visits,182485,655,1.75968727600885,1.61666074764622,1.91536741017297,5.13588079579608e-39,1.05414560220798,0.954834722303165,1.16378565284475,0.296248640450766,0.886446122726739,0.814058585995178,0.965270487917836,0.00554978448425853,0.986723864686386,0.905144831074173,1.07565546608292,0.761465689332191,1.00999500668401,0.915235019948734,1.11456608553263,0.843155914899937,8448.94758693106,-0.755403886429122
tavg_annual_W10,tavg_annual,10,50,eff_visits,182485,655,1.7826360700464,1.63436843531219,1.94435433869808,6.50731180271504e-39,1.2692888342384,1.13901775052584,1.41445920748687,1.58925402567908e-05,0.848667136140666,0.779634039971504,0.923812803237178,0.000150217579765854,0.908778738029602,0.834137042871391,0.990099650594239,0.0287028670569949,1.04317700323356,0.944195583508787,1.15253479160679,0.405938665572674,8424.06131538403,-25.6416754334568
tavg_annual_W15,tavg_annual,15,50,eff_visits,182485,655,1.79215203289124,1.64209251493968,1.95592445600679,4.47774484414831e-39,1.39676372155388,1.24650029645092,1.56514113907863,8.69733962106736e-09,0.845681313568549,0.776520543392737,0.921001884888079,0.000117887284509364,0.873305568184163,0.798235871510516,0.955435157252786,0.00313558158397473,1.06157310769015,0.966439745869188,1.16607110560978,0.212260499541184,8407.619815599,-42.0831752184949
tavg_annual_W20,tavg_annual,20,50,eff_visits,182485,655,1.76775353493385,1.6206103206217,1.92825660833279,8.75693670418982e-38,1.43057532020207,1.2719718180147,1.60895525968925,2.3350466119815e-09,0.851458247070201,0.781368409763139,0.927835240643563,0.000243537403880943,0.864406530741976,0.792796552702421,0.942484736900518,0.000957997330506875,1.04012824375235,0.947008735944962,1.14240420641085,0.410967137352955,8409.43392001746,-40.2690708000282
tavg_winter_W5,tavg_winter,5,50,eff_visits,182485,655,1.72696628007667,1.58927300253761,1.87658918748371,5.24325429422877e-38,0.908718633610217,0.829057173721395,0.996034509132562,0.0408662819303081,0.966800441009708,0.888944247530915,1.05147549504117,0.430576577481733,1.02475784924867,0.91670816714855,1.1455430280099,0.667046958516128,0.887588165216082,0.809184718604593,0.973588270908282,0.0114948111430596,8446.39877620588,-3.30421461161313
tavg_winter_W10,tavg_winter,10,50,eff_visits,182485,655,1.71971783286657,1.58223329874722,1.86914877029887,2.99184723685233e-37,0.955974587648345,0.870876888232445,1.04938760527251,0.343871354410546,0.938906825157272,0.863526332531713,1.02086756722562,0.139856259562533,1.03045942151855,0.923529548837385,1.14977005417215,0.591412220047642,0.892150080939527,0.810827362026972,0.981629141042637,0.0192720582477353,8448.39077875875,-1.31221205873953
tavg_winter_W15,tavg_winter,15,50,eff_visits,182485,655,1.72031675068521,1.58248371423599,1.87015493181044,3.90790899521654e-37,1.00554773850515,0.911137688566265,1.10974034671301,0.912423740016972,0.920394338684991,0.845996976647822,1.00133423885276,0.053731578129349,0.971404618170099,0.88693672904962,1.0639168514459,0.531913307080013,0.905988181661475,0.821911484391479,0.998665429183015,0.0469361892089516,8449.34032815316,-0.362662664334493
tavg_winter_W20,tavg_winter,20,50,eff_visits,182485,655,1.71980623980946,1.58226812626982,1.86929980663921,3.12077880717957e-37,1.00483139803816,0.903127397165404,1.11798860454501,0.929458597734762,0.923163857842573,0.848243157537473,1.00470189574047,0.0641158979884618,0.991750566810817,0.909052786367216,1.0819714779162,0.852073563634517,0.899841655836296,0.81591713389271,0.992398580619439,0.0346216873550146,8448.62040414062,-1.08258667686823
tmax_warm_W5,tmax_warm,5,50,eff_visits,182485,655,1.75091744910135,1.61024455372226,1.90387969732973,2.94967366072509e-39,0.96184328120369,0.873510936137435,1.05910808820271,0.428619206334687,0.87872589003925,0.808128706228054,0.955490361713954,0.00248197157739034,1.02767964795007,0.946073636261849,1.11632479579895,0.517763977565692,1.07897860342982,0.994361209022244,1.17079670455379,0.0681081043160517,8447.10997609722,-2.59301472027437
tmax_warm_W10,tmax_warm,10,50,eff_visits,182485,655,1.77927937898879,1.63435061189147,1.93705994629319,2.55912341807817e-40,1.13076895078606,1.01922912307375,1.25451519301739,0.0203696355515143,0.837652079211038,0.769925822522463,0.911335852469222,3.81472553238681e-05,1.04240164011743,0.959820119107736,1.13208835456546,0.324059672414362,1.06340867224979,0.980399029536686,1.15344667849219,0.138176398286457,8433.83881914915,-15.8641716683451
