indicator,window,rows,miss_change,sd_static,sd_change,sd_var,cor_static_change,cor_change_var
tavg_annual,5,187473,0,8.75707598206061,0.241445405918312,0.308310179211787,-0.241548575781004,0.0200954436630994
tavg_annual,10,187473,0,8.75707598206061,0.20257216704129,0.340139885457819,-0.31254580848807,-0.00281382438591637
tavg_annual,15,187473,0,8.75707598206061,0.176991049009733,0.35457956123936,-0.374106763095559,-0.00565378119225563
tavg_annual,20,187473,0,8.75707598206061,0.151749846370257,0.358784812521451,-0.395891633394256,0.0421366541861344
tavg_winter,5,187473,0,12.9385289564971,0.497215883546429,0.778943825341264,0.390676197570528,-0.0478520890696439
tavg_winter,10,187473,0,12.9385289564971,0.405105766685105,0.81487788365816,0.423011657643359,-0.0170034371312876
tavg_winter,15,187473,0,12.9385289564971,0.352620410457591,0.850350486125129,0.407530523335558,-0.0509028319133634
tavg_winter,20,187473,0,12.9385289564971,0.281902329049039,0.867812560697578,0.412577272316414,-0.0320002611792612
tmax_warm,5,187473,0,5.48848004250158,0.398873470514524,0.720197244232572,-0.0889105438501698,-0.0161829671851808
tmax_warm,10,187473,0,5.48848004250158,0.337049445021841,0.748207342735047,-0.173923865048988,-0.00977489766495479
tmax_warm,15,187473,0,5.48848004250158,0.294375196143345,0.76642768950938,-0.185610346322656,-0.0123698995834503
tmax_warm,20,187473,0,5.48848004250158,0.257252062013336,0.756269415133845,-0.167890940039028,0.0780367248524386
tmin_cold,5,187473,0,14.6616674086734,0.570321707794974,1.07777718055959,0.136661287047403,-0.0759142016012471
tmin_cold,10,187473,0,14.6616674086734,0.409756185790612,1.12533960727469,0.177717414018378,-0.0441806434378206
tmin_cold,15,187473,0,14.6616674086734,0.354031407263032,1.11737450397393,0.151986334436398,0.024875321247609
tmin_cold,20,187473,0,14.6616674086734,0.303346094397601,1.13876141536711,0.143430885146345,0.00687277473064242
