province,year,mainland,climate_z,temp_anom,warming_rate,climate_exposure,climate_velocity,thermal_novelty,temp_sd_roll,spatial_temp_grad,prec_anom,prec_grad_prov,precip_velocity,spatial_prec_grad,mahalanobis_dist,in_scope,temp_anom_z,warming_rate_z,climate_exposure_z,climate_velocity_z,thermal_novelty_z,temp_sd_roll_z,spatial_temp_grad_z,prec_anom_z,prec_grad_prov_z,precip_velocity_z,spatial_prec_grad_z,mahalanobis_dist_z
Anhui,2002,TRUE,0.321428772854309,0.944657602617818,0.630308457783265,0.138448095650142,6.7287250246573,2.3214436077626,0.455266975557433,0.00936742778867483,68.3418423160092,68.3418423160092,0.00837904939982559,379.330078125,8.44217804824337,TRUE,0.321428772854309,0.912198007019788,0.905945121078768,3.07296091463833,0.40227060644688,0.525711533437284,-0.716977607827621,0.370554189866641,0.370554189866641,-0.171459438677629,0.481249355345498,-0.167022508988726
Anhui,2003,TRUE,-0.80192694616071,0.413386621782857,0.599640403475063,0.132607843956658,6.40133467802149,1.01587467037053,0.45219074949371,0.00936742778867483,68.3418423160092,68.3418423160092,0.00837904939982559,379.330078125,8.44217804824337,TRUE,-0.80192694616071,0.828699509641733,0.797707445154354,2.87252399389835,-0.876506894866858,0.493379463455853,-0.716977607827621,0.370554189866641,0.370554189866641,-0.171459438677629,0.481249355345498,-0.167022508988726
Anhui,2004,TRUE,0.392978731068583,0.978495874712545,0.6703881536211,0.141833919770115,7.15658736576113,2.40459928261701,0.47265714344472,0.00936742778867483,68.3418423160092,68.3418423160092,0.00837904939982559,379.330078125,8.44217804824337,TRUE,0.392978731068583,1.02132114682503,0.968694768365987,3.334909414442,0.483719852874873,0.70848747820648,-0.716977607827621,0.370554189866641,0.370554189866641,-0.171459438677629,0.481249355345498,-0.167022508988726
Anhui,2005,TRUE,-0.539602641888729,0.537448206255514,0.748645850590288,0.158208941171368,7.99201090714996,1.32074912588207,0.473200721177556,0.00936742778867483,68.3418423160092,68.3418423160092,0.00837904939982559,379.330078125,8.44217804824337,TRUE,-0.539602641888729,1.23438976994426,1.27217385671789,3.84637752543044,-0.577888734410154,0.71420064522813,-0.716977607827621,0.370554189866641,0.370554189866641,-0.171459438677629,0.481249355345498,-0.167022508988726
Anhui,2006,TRUE,0.827997314734908,1.18423012764223,0.765801021030995,0.159492145561865,8.1751473115901,2.91017978611153,0.480149676545639,0.00936742778867483,68.3418423160092,68.3418423160092,0.00837904939982559,379.330078125,8.44217804824337,TRUE,0.827997314734908,1.28109736148783,1.29595554768822,3.9584984152446,0.978925394654326,0.787236276096814,-0.716977607827621,0.370554189866641,0.370554189866641,-0.171459438677629,0.481249355345498,-0.167022508988726
Anhui,2007,TRUE,1.19282910381226,1.35677079231508,0.803499732698721,0.162063297691467,8.5775919582764,3.33418888948816,0.495793769560588,0.00936742778867483,68.3418423160092,68.3418423160092,0.00837904939982559,379.330078125,8.44217804824337,TRUE,1.19282910381226,1.38373790547897,1.34360683834522,4.20488553868604,1.39423345401528,0.951660443787272,-0.716977607827621,0.370554189866641,0.370554189866641,-0.171459438677629,0.481249355345498,-0.167022508988726
Anhui,2008,TRUE,-0.361774317242884,0.621548929522115,0.516752277101788,0.128081537041957,5.51647996397195,1.52742198374553,0.403455711913037,0.00936742778867483,68.3418423160092,68.3418423160092,0.00837904939982559,379.330078125,8.44217804824337,TRUE,-0.361774317242884,0.603023829890513,0.713821173349588,2.33079282800163,-0.375456987453971,-0.0188405792086936,-0.716977607827621,0.370554189866641,0.370554189866641,-0.171459438677629,0.481249355345498,-0.167022508988726
Anhui,2009,TRUE,0.00867548050323115,0.796746530840474,0.546503305435166,0.134894882928657,5.83408079319154,1.95796036140615,0.405132717839416,0.00936742778867483,68.3418423160092,68.3418423160092,0.00837904939982559,379.330078125,8.44217804824337,TRUE,0.00867548050323115,0.684025582930471,0.840093252491034,2.52523635050431,0.0462463596739802,-0.00121473772377347,-0.716977607827621,0.370554189866641,0.370554189866641,-0.171459438677629,0.481249355345498,-0.167022508988726
Anhui,2010,TRUE,-0.621658639286149,0.49864129097231,0.371519940240071,0.0959903937367357,3.96608277769952,1.22538328626831,0.387038666868068,0.00936742778867483,276.182155064174,276.182155064174,0.00837904939982559,379.330078125,1.62990758610307,TRUE,-0.621658639286149,0.2076064428992,0.11907441389231,1.3815991784831,-0.671297582154016,-0.191388707430403,-0.716977607827621,2.25429025422573,2.25429025422573,-0.171459438677629,0.481249355345498,-1.0213774604324
Anhui,2011,TRUE,-1.18520984052132,0.232119837114889,0.00193010057725129,0.000594423593441106,0.0206043817021442,0.57042161161038,0.324701206100851,0.00936742778867483,-170.049987792969,-170.049987792969,0.00837904939982559,379.330078125,4.21343666087207,TRUE,-1.18520984052132,-0.798658771969303,-1.64890385875392,-1.03392574051996,-1.31281886056952,-0.846574347965256,-0.716977607827621,-1.79008193450722,-1.79008193450722,-0.171459438677629,0.481249355345498,-0.697366417492378
Anhui,2012,TRUE,-1.28875179713111,0.183151521990377,-0.215518440519062,0.0625305302737591,2.30072166427184,0.450084696082805,0.344661143245581,0.00936742778867483,-112.724975585938,-112.724975585938,0.00837904939982559,379.330078125,2.23885943060513,TRUE,-1.28875179713111,-1.39069588838124,-0.501038904515094,0.362021610220596,-1.43068635553424,-0.636789348026941,-0.716977607827621,-1.27052347418556,-1.27052347418556,-0.171459438677629,0.481249355345498,-0.945006296599067
Anhui,2013,TRUE,0.199090887026467,0.886800089190084,-0.0665385382515887,0.019860432146413,0.710318133778768,2.17926198096402,0.335030666810572,0.00936742778867483,-131.343765258789,-131.343765258789,0.00837904939982559,379.330078125,11.7185676809707,TRUE,0.199090887026467,-0.985075177857821,-1.291845961328,-0.611664968084774,0.26300667312031,-0.738008579514238,-0.716977607827621,-1.43927266974688,-1.43927266974688,-0.171459438677629,0.481249355345498,0.243883035812538
Anhui,2014,TRUE,-0.19156035036202,0.702048578569967,-0.101641825267226,0.0305344097225376,1.08505587190232,1.72524540166055,0.332876339155832,0.00936742778867483,31.875,31.875,0.00837904939982559,379.330078125,6.98121119976163,TRUE,-0.19156035036202,-1.0806492788223,-1.09402460253313,-0.3822407376932,-0.181693082065692,-0.760651217296094,-0.716977607827621,0.0400412825501607,0.0400412825501607,-0.171459438677629,0.481249355345498,-0.350248390555277
Anhui,2015,TRUE,-0.411182949117247,0.598182001421529,-0.194762161799821,0.0594682081955292,2.07914238778854,1.46999905535133,0.327506356269304,0.00936742778867483,68.3418423160092,68.3418423160092,0.00837904939982559,379.330078125,8.44217804824337,TRUE,-0.411182949117247,-1.3341837253728,-0.557793072327662,0.226364990120215,-0.431701546271933,-0.817091367951401,-0.716977607827621,0.370554189866641,0.370554189866641,-0.171459438677629,0.481249355345498,-0.167022508988726
Anhui,2016,TRUE,0.404488994342555,0.983939447710592,-0.142018897192816,0.0424342641209629,1.51609278872175,2.41797656101364,0.334679769131798,0.00936742778867483,337.75,337.75,0.00837904939982559,379.330078125,4.39480980962047,TRUE,0.404488994342555,-1.19058207078983,-0.873484007448584,-0.118348679725315,0.496822617617876,-0.741696620663175,-0.716977607827621,2.8123031265938,2.8123031265938,-0.171459438677629,0.481249355345498,-0.674619662419556
Anhui,2017,TRUE,0.69963811739059,1.12352494270571,0.018829958779464,0.00544294144925444,0.201015254179267,2.7610001646927,0.345951889341807,0.00936742778867483,45.9888509114583,45.9888509114583,0.00837904939982559,379.330078125,11.4710155841263,TRUE,0.69963811739059,-0.752646307285178,-1.55904603550689,-0.923473492556903,0.832807071782791,-0.623223214639159,-0.716977607827621,0.167960499074415,0.167960499074415,-0.171459438677629,0.481249355345498,0.212836505752598
Anhui,2018,TRUE,0.424210503596137,0.993266382525045,-0.0110656533922482,0.00326223490054918,0.118129049317322,2.44089698545634,0.339204678068564,0.00936742778867483,-72.6500244140625,-72.6500244140625,0.00837904939982559,379.330078125,9.09597149911294,TRUE,0.424210503596137,-0.834041712075089,-1.59946117873922,-0.974218591931604,0.519272694560144,-0.694138453814389,-0.716977607827621,-0.907308899487717,-0.907308899487717,-0.171459438677629,0.481249355345498,-0.0850275742491017
