province,year,effort_status,mainland,observed,effort_record,n_visits,n_observers,n_birding_days,effort_pc1,log_effort_record_z,log_effort_visits_z,log_effort_observers_z,log_effort_days_z,effort_pc1_z,in_scope,log_effort_record,log_n_visits,log_n_observers,log_n_birding_days
Hunan,2021,observed,TRUE,TRUE,4042,554,52,272,0.739137716452125,1.7100393438799,1.06315774544374,0.632257913421566,1.22120636822826,1.18079050816989,TRUE,8.30474226964077,6.31896811374643,3.97029191355212,5.60947179518496
Hunan,2022,observed,TRUE,TRUE,8115,1374,93,348,1.70371146074829,2.03372755066189,1.4857346834334,0.985287282118813,1.36914584983981,1.50983423085044,TRUE,9.00159270094571,7.22620901010067,4.54329478227,5.85507192220243
Hunan,2023,observed,TRUE,TRUE,8567,2106,239,353,2.95248934028846,2.05890210779136,1.68453596851754,1.56278877197197,1.37771440316211,1.7280771448206,TRUE,9.05578961212758,7.65302041380419,5.48063892334199,5.86929691313377
Hunan,2024,observed,TRUE,TRUE,7811,6196,758,365,5.93855295365492,2.01599454398069,2.18702221447209,2.27214805042986,1.39779490064826,2.05112383354272,TRUE,8.96341629199657,8.73182058296211,6.63200177739563,5.90263333340137
Inner Mongolia,2002,structural_zero,TRUE,FALSE,0,0,0,0,,-2.14752752023567,-1.88010705610098,-1.81385487990754,-2.1577102454236,-2.127344660973,TRUE,0,0,0,0
Inner Mongolia,2003,observed,TRUE,TRUE,,5,1,5,-1.12505036829467,,-1.04553684088799,-1.38680411816374,-1.07842755013676,,TRUE,,1.79175946922806,0.693147180559945,1.79175946922806
Inner Mongolia,2004,observed,TRUE,TRUE,2,10,3,9,-0.95082747534926,-1.63722024956108,-0.763209387498323,-0.959753356419943,-0.7707270660549,-1.09698809260173,TRUE,1.09861228866811,2.39789527279837,1.38629436111989,2.30258509299405
Inner Mongolia,2005,observed,TRUE,TRUE,2,3,2,3,-0.954469425166787,-1.63722024956108,-1.23439539492202,-1.13699543663922,-1.32266316448085,-1.42085805216069,TRUE,1.09861228866811,1.38629436111989,1.09861228866811,1.38629436111989
Inner Mongolia,2006,observed,TRUE,TRUE,4,5,3,5,-1.16184696546021,-1.39994088126756,-1.04553684088799,-0.959753356419943,-1.07842755013676,-1.19829449731168,TRUE,1.6094379124341,1.79175946922806,1.38629436111989,1.79175946922806
Inner Mongolia,2007,observed,TRUE,TRUE,11,10,6,9,-1.02364960411158,-0.993284168496198,-0.763209387498323,-0.614971821957637,-0.7707270660549,-0.846735730733451,TRUE,2.484906649788,2.39789527279837,1.94591014905531,2.30258509299405
Inner Mongolia,2008,observed,TRUE,TRUE,84,3,3,3,-1.06642717013533,-0.0839084795210239,-1.23439539492202,-0.959753356419943,-1.32266316448085,-0.993488982999017,TRUE,4.44265125649032,1.38629436111989,1.38629436111989,1.38629436111989
Inner Mongolia,2009,observed,TRUE,TRUE,17,14,4,14,-0.944061925407746,-0.804944938354051,-0.618744647833561,-0.822273718271565,-0.526491451710814,-0.751831357799839,TRUE,2.89037175789616,2.70805020110221,1.6094379124341,2.70805020110221
Inner Mongolia,2010,observed,TRUE,TRUE,13,9,5,7,-0.938923278967453,-0.921680916369237,-0.807603201867589,-0.709944674895415,-0.905139624009476,-0.90287180189558,TRUE,2.63905732961526,2.30258509299405,1.79175946922806,2.07944154167984
Inner Mongolia,2011,observed,TRUE,TRUE,18,10,7,10,-1.03910572698828,-0.779830622408393,-0.763209387498323,-0.532702594676143,-0.713316107991538,-0.757055407713076,TRUE,2.94443897916644,2.39789527279837,2.07944154167984,2.39789527279837
Inner Mongolia,2012,observed,TRUE,TRUE,19,12,8,10,-0.94512995930287,-0.756004800202678,-0.685398517354234,-0.460135993370887,-0.713316107991538,-0.710457873537262,TRUE,2.99573227355399,2.56494935746154,2.19722457733622,2.39789527279837
Inner Mongolia,2013,observed,TRUE,TRUE,32,44,19,37,-0.627897576471956,-0.523393829952458,-0.107030263210052,0.0318278052160364,0.0334230301265028,-0.163630571310956,TRUE,3.49650756146648,3.80666248977032,2.99573227355399,3.63758615972639
Inner Mongolia,2014,observed,TRUE,TRUE,27,58,25,44,-0.492469809896421,-0.599712875836796,0.019138551662172,0.193471482255424,0.135267703104646,-0.0770877573393173,TRUE,3.3322045101752,4.07753744390572,3.25809653802148,3.80666248977032
Inner Mongolia,2015,observed,TRUE,TRUE,60,97,28,68,-0.334553275646027,-0.238019640747959,0.255490584729249,0.260749604598592,0.392742512826401,0.162756485681239,TRUE,4.11087386417331,4.58496747867057,3.36729582998647,4.23410650459726
Inner Mongolia,2016,observed,TRUE,TRUE,70,91,26,51,-0.444677332067722,-0.167505490398722,0.226062957623743,0.216723449897442,0.222357527938313,0.11454203625481,TRUE,4.26267987704132,4.52178857704904,3.29583686600433,3.95124371858143
Inner Mongolia,2017,observed,TRUE,TRUE,88,84,41,56,-0.396249516056542,-0.0625483164569952,0.189202178158446,0.488938383054493,0.277658644470589,0.218253736219071,TRUE,4.48863636973214,4.44265125649032,3.73766961828337,4.04305126783455
Inner Mongolia,2018,observed,TRUE,TRUE,241,173,56,80,-0.124246940747678,0.402093359514017,0.522890648281833,0.677085243809316,0.489326373838243,0.530122250566855,TRUE,5.48893772615669,5.15905529921453,4.04305126783455,4.39444915467244
Inner Mongolia,2019,observed,TRUE,TRUE,127,141,50,95,0.0361370256496956,0.10624876349142,0.42823048867145,0.608558683316221,0.591666611748733,0.440901540552816,TRUE,4.85203026391962,4.95582705760126,3.93182563272433,4.56434819146784
Inner Mongolia,2020,observed,TRUE,TRUE,299,141,44,93,-0.163940838217891,0.501889109440019,0.42823048867145,0.531445168265093,0.578984898263048,0.513430888194879,TRUE,5.7037824746562,4.95582705760126,3.80666248977032,4.54329478227
