grid_cell,province,olap
915,Inner Mongolia,4039576814.23314
916,Inner Mongolia,4236608715.31608
917,Inner Mongolia,4396235160.6798
918,Inner Mongolia,4865749074.42859
919,Inner Mongolia,4882435907.72216
920,Inner Mongolia,4776920693.37484
921,Heilongjiang,3378116272.76727
984,Inner Mongolia,55916570.2957694
985,Inner Mongolia,3346512823.28431
986,Inner Mongolia,4921176044.70991
987,Inner Mongolia,4933830851.00317
988,Inner Mongolia,4947682359.89485
989,Inner Mongolia,4962736333.83053
990,Inner Mongolia,4978998956.36214
991,Inner Mongolia,3695027930.70386
992,Jilin,3193567163.4513
993,Jilin,5032929564.17957
1052,Inner Mongolia,906934401.84753
1053,Inner Mongolia,432133401.49618
1054,Inner Mongolia,106371006.943669
1055,Inner Mongolia,3102813237.51412
1056,Inner Mongolia,4440770632.62725
1057,Inner Mongolia,5021186740.86788
1058,Inner Mongolia,5033179924.2274
1059,Inner Mongolia,5046421032.60057
1060,Inner Mongolia,5060916080.79786
1061,Inner Mongolia,5076671586.34411
1062,Inner Mongolia,5093694553.36154
1063,Inner Mongolia,4805111472.16181
1064,Jilin,5081030800.74386
1124,Inner Mongolia,4303573889.76596
1125,Inner Mongolia,4929512078.16275
1126,Inner Mongolia,4622103890.47705
1127,Inner Mongolia,5112756042.45637
1128,Inner Mongolia,5122702234.31222
1129,Inner Mongolia,5133943223.62812
1130,Inner Mongolia,5146484583.07978
1131,Inner Mongolia,5160332485.22371
1132,Inner Mongolia,5175493690.28136
1133,Inner Mongolia,5191975532.24948
1134,Inner Mongolia,5209785903.18675
1135,Inner Mongolia,5062259425.96651
1136,Jilin,4183766367.57813
1137,Jilin,4995603262.33522
1196,Inner Mongolia,2935734166.81486
1197,Inner Mongolia,5209038842.09371
1198,Inner Mongolia,5216740120.24369
1199,Inner Mongolia,5225785149.70279
1200,Inner Mongolia,5236178773.38245
1201,Inner Mongolia,5247926528.99867
1202,Inner Mongolia,5261034640.34972
1203,Inner Mongolia,5275510007.19124
1204,Inner Mongolia,5291360193.56732
1205,Inner Mongolia,5308593414.49563
1206,Inner Mongolia,5327218520.85188
1207,Inner Mongolia,5347244982.31445
1208,Inner Mongolia,5365564446.6765
1209,Jilin,3296578808.46612
1267,Inner Mongolia,2410689327.34341
1268,Inner Mongolia,5117144759.58378
1269,Inner Mongolia,5322461155.19489
1270,Inner Mongolia,5330503562.48166
1271,Inner Mongolia,5339949911.44252
1272,Inner Mongolia,5350805582.53393
1273,Inner Mongolia,5363076731.90842
