species
Acanthis flammea
Amaurornis cinerea
Anous stolidus
Anser albifrons
Anser caerulescens
Anser erythropus
Anthreptes malacensis
Arenaria interpres
Branta bernicla
Branta hutchinsii
Branta leucopsis
Branta ruficollis
Bulweria bulwerii
Calidris acuminata
Calidris alba
Calidris alpina
Calidris canutus
Calidris falcinellus
Calidris melanotos
Calidris minuta
Calidris pugnax
Calidris pygmaea
Calidris subminuta
Calidris tenuirostris
Calonectris leucomelas
Charadrius hiaticula
Charadrius mongolus
Clangula hyemalis
Curruca crassirostris
Cygnus columbianus
Emberiza chrysophrys
Emberiza melanocephala
Emberiza sulphurata
Erithacus rubecula
Ficedula narcissina
Ficedula owstoni
Ficedula parva
Fregata ariel
Gavia stellata
Grus canadensis
Haliaeetus pelagicus
Helopsaltes ochotensis
Helopsaltes pleskei
Larus fuscus
Larus hyperboreus
Larvivora akahige
Leucogeranus leucogeranus
Limnodromus scolopaceus
Limosa lapponica
Lophophanes dichrous
Mareca americana
Numenius phaeopus
Onychoprion aleuticus
Onychoprion fuscatus
Pelecanus onocrotalus
Phalaropus fulicarius
Phalaropus lobatus
Phoenicopterus roseus
Phylloscopus borealoides
Phylloscopus collybita
Phylloscopus proregulus
Plectrophenax nivalis
Plegadis falcinellus
Rissa tridactyla
Stachyris nonggangensis
Stercorarius parasiticus
Stercorarius pomarinus
Tringa brevipes
Tringa guttifer
