province,ssp,horizon,mech,ml,ssp_lab
Hubei,ssp245,2030,0.987769829458735,1.6903114252949,SSP2-4.5
Hubei,ssp245,2050,1.43318169759432,0.982606624394306,SSP2-4.5
Hubei,ssp245,2080,2.49368698247238,1.06466904270802,SSP2-4.5
Hubei,ssp585,2030,1.08909731135311,1.59923938390486,SSP5-8.5
Hubei,ssp585,2050,2.61599288602656,1.00091552010499,SSP5-8.5
Hubei,ssp585,2080,18.9225369912456,0.983401811479957,SSP5-8.5
Hunan,ssp245,2030,2.24315300537152,0.769555959804897,SSP2-4.5
Hunan,ssp245,2050,3.46878605993779,0.942404407496546,SSP2-4.5
Hunan,ssp245,2080,7.29529364719939,0.999639225032582,SSP2-4.5
Hunan,ssp585,2030,2.52797796797238,1.70792775292534,SSP5-8.5
Hunan,ssp585,2050,6.46436712254083,0.997434603141657,SSP5-8.5
Hunan,ssp585,2080,35.9507320011609,1.0345567856897,SSP5-8.5
Inner Mongolia,ssp245,2030,1.55860141591935,0.447952528603566,SSP2-4.5
Inner Mongolia,ssp245,2050,1.86717261729948,1.48646398137013,SSP2-4.5
Inner Mongolia,ssp245,2080,2.48547332477639,0.963889863043546,SSP2-4.5
Inner Mongolia,ssp585,2030,1.65817987485671,0.909039313272119,SSP5-8.5
Inner Mongolia,ssp585,2050,2.3092112436371,0.970244794510878,SSP5-8.5
Inner Mongolia,ssp585,2080,4.90595708468581,1.06699297837435,SSP5-8.5
Jiangsu,ssp245,2030,1.23926758720393,1.62157043183044,SSP2-4.5
Jiangsu,ssp245,2050,2.00862700519913,0.987276225722335,SSP2-4.5
Jiangsu,ssp245,2080,4.19558730356196,0.999641631183327,SSP2-4.5
Jiangsu,ssp585,2030,1.38008843015864,1.07078862251427,SSP5-8.5
Jiangsu,ssp585,2050,4.08797796048324,0.915282407275183,SSP5-8.5
Jiangsu,ssp585,2080,34.3169434168225,0.980732991592959,SSP5-8.5
Jiangxi,ssp245,2030,0.996588206703829,0.443813636785329,SSP2-4.5
Jiangxi,ssp245,2050,1.46711447497133,1.62077702679965,SSP2-4.5
Jiangxi,ssp245,2080,3.00232872030145,0.984363163354822,SSP2-4.5
Jiangxi,ssp585,2030,1.11841250000131,0.874310926814732,SSP5-8.5
Jiangxi,ssp585,2050,2.60133091159097,0.98137565004808,SSP5-8.5
Jiangxi,ssp585,2080,19.6609135245882,0.98350416762593,SSP5-8.5
Jilin,ssp245,2030,0.973699352735215,0.419093815814805,SSP2-4.5
Jilin,ssp245,2050,1.23227240648211,0.466539794338725,SSP2-4.5
Jilin,ssp245,2080,1.79196047133246,0.835944593057755,SSP2-4.5
Jilin,ssp585,2030,1.04760237294305,0.395450255398274,SSP5-8.5
Jilin,ssp585,2050,1.66597387684053,0.860049521788429,SSP5-8.5
Jilin,ssp585,2080,3.86416316961817,0.892352974092912,SSP5-8.5
Liaoning,ssp245,2030,0.828561395430578,0.333607434208317,SSP2-4.5
Liaoning,ssp245,2050,1.10706036651627,1.07244936281635,SSP2-4.5
Liaoning,ssp245,2080,1.82093806704452,0.726964530839356,SSP2-4.5
Liaoning,ssp585,2030,0.905659664375079,0.421376461459307,SSP5-8.5
Liaoning,ssp585,2050,1.63063838066413,0.741338160597687,SSP5-8.5
Liaoning,ssp585,2080,6.03344916482775,0.731644734919986,SSP5-8.5
Ningxia,ssp245,2030,1.10368123597896,0.999766863771418,SSP2-4.5
Ningxia,ssp245,2050,1.36593907060833,0.520101668106773,SSP2-4.5
Ningxia,ssp245,2080,1.61611517655748,1.67084463054462,SSP2-4.5
Ningxia,ssp585,2030,1.19636661514273,0.768912520090287,SSP5-8.5
Ningxia,ssp585,2050,1.58325810394221,1.89474491635337,SSP5-8.5
Ningxia,ssp585,2080,3.54271195625875,1.14581113170557,SSP5-8.5
Qinghai,ssp245,2030,0.90657313612473,0.338917878656907,SSP2-4.5
Qinghai,ssp245,2050,1.34948413369465,1.08565449395596,SSP2-4.5
Qinghai,ssp245,2080,2.56986299494244,1.61561312927882,SSP2-4.5
Qinghai,ssp585,2030,1.0119433734601,0.35963629157373,SSP5-8.5
Qinghai,ssp585,2050,2.35672082201498,1.56707620685834,SSP5-8.5
Qinghai,ssp585,2080,13.8033267074824,1.6386082519872,SSP5-8.5
Shaanxi,ssp245,2030,1.32561129537514,0.414701732838447,SSP2-4.5
Shaanxi,ssp245,2050,1.71856264394589,1.95158387086708,SSP2-4.5
Shaanxi,ssp245,2080,2.62688106940663,1.16359435785345,SSP2-4.5
Shaanxi,ssp585,2030,1.44036261455396,0.575339670298448,SSP5-8.5
Shaanxi,ssp585,2050,2.57755378994969,1.16039035578309,SSP5-8.5
